source;target;value
267;2476;412
267;3078;425
267;3224;409
267;6240;428
267;6661;418
267;6936;411
267;7343;425
267;7824;410
267;8010;408
267;9551;402
267;10391;410
267;10421;410
267;10463;412
267;10540;412
267;10583;420
267;10613;415
267;10705;412
267;10723;403
267;10726;425
267;10733;411
267;10756;432
267;11054;404
267;12004;439
267;12027;401
267;12030;407
267;12036;405
267;13010;435
267;13013;401
267;14027;406
267;14029;412
267;14039;407
267;14055;408
267;14203;404
267;14206;415
267;14209;404
267;14214;407
267;14215;420
267;14217;401
267;14224;419
267;14229;403
267;14231;410
267;14264;414
267;14265;418
267;14275;402
267;14277;423
267;14279;406
267;14285;409
267;14400;408
267;14401;411
267;14435;404
267;14440;406
267;14445;416
267;14458;419
633;8032;402
633;10719;401
633;11005;402
633;12011;409
633;14045;418
633;14071;406
633;14251;405
633;14259;404
633;14276;407
633;14411;411
830;2476;409
830;3078;405
830;3224;408
830;5101;401
830;6240;421
830;6661;416
830;7343;425
830;7824;416
830;8010;420
830;10421;413
830;10463;412
830;10540;410
830;10583;402
830;10609;404
830;10613;418
830;10705;408
830;10726;402
830;10732;404
830;10733;418
830;10756;420
830;10760;406
830;11054;403
830;12004;406
830;12044;409
830;13010;429
830;13013;416
830;14029;402
830;14039;424
830;14055;420
830;14204;407
830;14206;426
830;14209;403
830;14211;413
830;14214;405
830;14215;422
830;14217;402
830;14224;412
830;14229;402
830;14231;422
830;14264;425
830;14265;426
830;14274;402
830;14275;402
830;14277;419
830;14279;420
830;14284;406
830;14285;401
830;14400;406
830;14401;411
830;14406;405
830;14423;401
830;14430;414
830;14433;402
830;14434;401
830;14435;415
830;14440;413
830;14445;407
830;14458;416
948;13010;405
948;14265;403
948;14277;405
1087;2525;407
1087;10574;401
1087;10606;405
1087;10706;405
1087;10719;420
1087;10722;406
1087;10773;419
1087;10786;406
1087;11007;412
1087;11057;407
1087;11058;401
1087;13021;404
1087;13036;415
1087;13045;401
1087;14003;407
1087;14013;401
1087;14018;433
1087;14035;403
1087;14038;412
1087;14040;402
1087;14045;435
1087;14052;403
1087;14061;403
1087;14071;430
1087;14218;404
1087;14226;425
1087;14227;417
1087;14239;425
1087;14242;408
1087;14259;416
1087;14273;413
1087;14276;421
1087;14410;418
1087;14411;430
1087;14432;408
1087;14456;414
1087;14461;404
1282;2533;404
1282;3242;423
1282;5924;408
1282;10550;407
1282;10567;443
1282;10574;401
1282;10626;412
1282;10719;406
1282;10767;459
1282;11035;423
1282;11036;405
1282;11066;415
1282;12011;440
1282;13002;434
1282;13036;450
1282;13038;405
1282;13042;405
1282;13055;406
1282;14002;404
1282;14003;408
1282;14004;408
1282;14009;410
1282;14013;450
1282;14021;407
1282;14031;429
1282;14040;431
1282;14052;415
1282;14057;424
1282;14060;419
1282;14069;422
1282;14071;419
1282;14219;421
1282;14226;420
1282;14227;404
1282;14243;422
1282;14245;408
1282;14259;421
1282;14276;413
1282;14291;423
1282;14403;410
1282;14411;404
1282;14415;428
1282;14427;412
1282;14438;414
1282;14449;435
1282;14456;408
1282;94454;404
1610;10773;405
1610;14018;402
1610;14045;403
1610;14071;409
1610;14227;406
1610;14411;403
2009;6661;402
2009;7343;402
2009;7824;402
2009;8010;405
2009;10421;412
2009;10540;413
2009;10607;409
2009;10609;401
2009;10732;403
2009;10733;406
2009;10756;404
2009;11021;405
2009;11054;405
2009;13010;408
2009;13013;408
2009;14010;404
2009;14039;414
2009;14046;415
2009;14055;412
2009;14206;421
2009;14211;402
2009;14215;421
2009;14217;402
2009;14231;414
2009;14264;409
2009;14265;408
2009;14267;401
2009;14274;421
2009;14275;401
2009;14279;410
2009;14284;412
2009;14401;412
2009;14430;415
2009;14435;406
2009;14436;404
2009;14458;404
2009;14460;402
2476;3078;419
2476;3224;439
2476;6240;426
2476;6584;403
2476;6661;415
2476;6845;419
2476;6936;419
2476;7343;441
2476;7824;418
2476;8010;426
2476;8564;404
2476;8672;408
2476;9551;402
2476;10391;415
2476;10421;416
2476;10463;427
2476;10500;420
2476;10540;433
2476;10583;413
2476;10601;404
2476;10609;429
2476;10613;437
2476;10620;420
2476;10621;411
2476;10703;422
2476;10705;421
2476;10726;412
2476;10732;409
2476;10733;449
2476;10756;431
2476;10760;411
2476;10768;416
2476;10784;417
2476;11014;420
2476;11054;406
2476;11067;409
2476;12004;432
2476;12027;413
2476;12030;407
2476;12035;403
2476;12044;417
2476;13010;443
2476;13013;423
2476;13024;412
2476;13035;408
2476;13040;401
2476;14027;408
2476;14029;426
2476;14039;445
2476;14046;410
2476;14055;423
2476;14203;414
2476;14204;429
2476;14206;459
2476;14207;410
2476;14208;402
2476;14209;425
2476;14211;413
2476;14214;431
2476;14215;427
2476;14217;415
2476;14224;432
2476;14229;421
2476;14231;430
2476;14246;413
2476;14248;404
2476;14250;408
2476;14255;404
2476;14257;414
